tiempo (s);Potencia (W)
115,55;32,469142
115,56;32,518042
115,57;32,600796
115,58;32,697695
115,59;32,7955
115,6;32,887142
115,61;32,961587
115,62;33,001611
115,63;33,000265
115,64;32,970229
115,65;32,931401
115,66;32,890761
115,67;32,845553
115,68;32,803261
115,69;32,78606
115,7;32,832279
115,71;32,969584
115,72;33,154276
115,73;33,321443
115,74;33,471777
115,75;33,625952
115,76;33,772686
115,77;33,855867
115,78;33,841014
115,79;33,796314
115,8;33,804539
115,81;33,878727
115,82;33,958048
115,83;33,977535
115,84;33,957495
115,85;33,944475
115,86;33,943518
115,87;33,905025
115,88;33,788147
115,89;33,648904
115,9;33,565739
115,91;33,559325
115,92;33,583715
115,93;33,589029
115,94;33,605029
115,95;33,6755
115,96;33,788809
115,97;33,873361
115,98;33,8668
115,99;33,804143
116;33,750136
116,01;33,727227
116,02;33,702958
116,03;33,644401
116,04;33,59891
116,05;33,625662
116,06;33,724605
116,07;33,833692
116,08;33,894599
116,09;33,934335
116,1;33,994433
116,11;34,06166
116,12;34,068769
116,13;33,959697
116,14;33,777132
116,15;33,60055
116,16;33,46559
116,17;33,357364
116,18;33,243654
116,19;33,131672
116,2;33,052297
116,21;33,008613
116,22;32,969482
116,23;32,894684
116,24;32,762381
116,25;32,577147
116,26;32,355397
116,27;32,117312
116,28;31,896353
116,29;31,7381
116,3;31,677981
116,31;31,715473
116,32;31,817925
116,33;31,951948
116,34;32,101339
116,35;32,26025
116,36;32,41716
116,37;32,552303
116,38;32,649471
116,39;32,706453
116,4;32,733039
116,41;32,730965
116,42;32,693143
116,43;32,628673
116,44;32,568575
116,45;32,548429
116,46;32,584117
116,47;32,662676
116,48;32,755464
116,49;32,835919
116,5;32,890631
116,51;32,912295
116,52;32,892433
116,53;32,829226
116,54;32,736238
116,55;32,64036
116,56;32,564905
116,57;32,520684
116,58;32,512464
116,59;32,54497
116,6;32,619931
116,61;32,724579
116,62;32,836588
116,63;32,939412
116,64;33,025907
116,65;33,097309
116,66;33,155248
116,67;33,199008
116,68;33,232901
116,69;33,265966
116,7;33,303109
116,71;33,334116
116,72;33,34035
116,73;33,314008
116,74;33,26392
116,75;33,20471
116,76;33,138678
116,77;33,056933
116,78;32,954088
116,79;32,833429
116,8;32,706536
116,81;32,585342
116,82;32,479228
116,83;32,400392
116,84;32,360186
116,85;32,361795
116,86;32,396261
116,87;32,449541
116,88;32,516445
116,89;32,602102
116,9;32,708862
116,91;32,822083
116,92;32,916258
116,93;32,976745
116,94;33,008549
116,95;33,02238
116,96;33,01788
116,97;32,989576
116,98;32,943228
116,99;32,900168
117;32,884349
117,01;32,901717
117,02;32,940196
